[15:43:15] [ServerMain/INFO]: Environment: Environment[accountsHost=https://api.mojang.com, sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[15:43:17] [ServerMain/INFO]: Loaded 7 recipes
[15:43:17] [ServerMain/INFO]: Loaded 1271 advancements
[15:43:18] [Server thread/INFO]: Starting minecraft server version 1.20.2
[15:43:18] [Server thread/INFO]: Loading properties
[15:43:18] [Server thread/INFO]: Default game type: SURVIVAL
[15:43:18] [Server thread/INFO]: Generating keypair
[15:43:18] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:43:18] [Server thread/INFO]: Using epoll channel type
[15:43:18] [Server thread/INFO]: Preparing level "world"
[15:43:20] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[15:43:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:43:22] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[15:43:22] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[15:43:22] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[15:43:22] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[15:43:22] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[15:43:23] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[15:43:23] [Worker-Main-3/INFO]: Preparing spawn area: 14%
[15:43:24] [Worker-Main-1/INFO]: Preparing spawn area: 43%
[15:43:24] [Worker-Main-6/INFO]: Preparing spawn area: 55%
[15:43:26] [Worker-Main-7/INFO]: Preparing spawn area: 56%
[15:43:26] [Worker-Main-1/INFO]: Preparing spawn area: 56%
[15:43:26] [Worker-Main-6/INFO]: Preparing spawn area: 68%
[15:43:27] [Worker-Main-4/INFO]: Preparing spawn area: 68%
[15:43:27] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[15:43:27] [Worker-Main-7/INFO]: Preparing spawn area: 70%
[15:43:28] [Worker-Main-3/INFO]: Preparing spawn area: 72%
[15:43:28] [Worker-Main-7/INFO]: Preparing spawn area: 74%
[15:43:29] [Worker-Main-3/INFO]: Preparing spawn area: 79%
[15:43:30] [Worker-Main-7/INFO]: Preparing spawn area: 82%
[15:43:30] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[15:43:31] [Worker-Main-7/INFO]: Preparing spawn area: 83%
[15:43:31] [Worker-Main-5/INFO]: Preparing spawn area: 84%
[15:43:31] [Worker-Main-2/INFO]: Preparing spawn area: 85%
[15:43:32] [Worker-Main-1/INFO]: Preparing spawn area: 87%
[15:43:33] [Worker-Main-6/INFO]: Preparing spawn area: 88%
[15:43:33] [Worker-Main-3/INFO]: Preparing spawn area: 89%
[15:43:33] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[15:43:34] [Worker-Main-4/INFO]: Preparing spawn area: 93%
[15:43:35] [Worker-Main-5/INFO]: Preparing spawn area: 95%
[15:43:35] [Worker-Main-6/INFO]: Preparing spawn area: 97%
[15:43:35] [Worker-Main-1/INFO]: Preparing spawn area: 98%
[15:43:36] [Server thread/INFO]: Time elapsed: 15831 ms
[15:43:36] [Server thread/INFO]: Done (17.823s)! For help, type "help"
